stud_id,first_name,last_name,birthday,gender,age,stud_email,stud_phone,stud_address,school_id,major_id
106,Maria,Powers,2/19/1996,Female,49,ef@heb.fk,(868) 826-3233,Vumledas,926,9
107,Henry,Stanley,5/6/1995,Male,37,daazo@woiz.tn,(955) 561-3320,Wabtudu,820,1
108,Etta,Anderson,8/23/1967,Female,36,bavrefac@jujno.pl,(608) 289-5948,Ligopice,042,9
109,Wesley,Cross,8/1/1992,Male,59,vitos@iguraoz.im,(824) 769-3546,Otbukkon,049,8
110,Brian,Murphy,4/8/1968,Female,45,rereso@be.cd,(955) 654-8518,Uheulmak,588,7
111,Harvey,Morrison,2/17/1980,Female,43,jespufwij@tibiasa.ml,(930) 467-8910,Zuckepak,224,5
112,Louise,Simon,5/30/1991,Male,53,dadewuf@vef.pf,(252) 268-5608,Soucrog,190,8
113,Zachary,Wagner,9/16/1999,Female,24,juki@gobu.lb,(440) 733-1849,Owdodisu,285,5
114,Nellie,Palmer,1/21/1986,Female,19,ribirru@gopbif.az,(841) 409-6376,Cijeze,303,6
115,Sallie,Powell,10/8/1973,Female,49,solcofa@ku.hk,(726) 221-8257,Tefcadiw,269,9
116,Elnora,Moss,2/22/1960,Female,63,tezce@ogupoge.cz,(447) 330-2443,Gobbudwuc,883,5
117,Eddie,Briggs,3/5/1984,Male,50,ifimu@dezatjuc.ly,(285) 984-5854,Kiftasvu,559,1
118,Edwin,Ortiz,3/21/2002,Female,31,uju@isiisifum.gh,(702) 467-2868,Epezatip,898,1
119,Rhoda,Harper,8/2/2002,Male,39,joz@to.tj,(524) 420-8207,Jemzipu,234,5
120,James,Pope,9/19/1973,Male,60,kozmegro@zabledo.gov,(529) 880-4910,Uvocigpa,662,0
121,Virgie,Cross,3/15/1985,Female,24,gibforuv@petnuloja.je,(486) 616-3985,Torobul,696,6
122,Jane,Roberts,1/28/1999,Male,49,ce@durjav.so,(630) 797-4255,Gepaat,860,5
123,Margaret,Phillips,10/7/1993,Female,41,cal@pida.bh,(977) 446-2083,Kolabfew,295,5
124,Lettie,Webster,10/28/1960,Male,55,nietov@fobamre.bs,(934) 523-3274,Fujfiraf,946,3
125,Marie,Cohen,8/27/1956,Female,35,mot@tip.jp,(761) 737-6103,Zogeku,220,4
126,Mittie,Hunt,2/4/1999,Male,29,ug@arsuko.cg,(952) 646-6601,Afguvati,429,6
127,Winifred,Abbott,10/29/1972,Female,31,wineuba@uladuc.vg,(443) 878-4123,Amzipe,794,0
128,Mattie,White,6/29/1987,Female,47,melal@cooguf.ru,(877) 202-6686,Miopcot,340,2
129,Zachary,Townsend,11/5/1999,Male,24,pawagkof@jiwian.io,(552) 917-4209,Dopiscu,408,5
130,Emilie,Gutierrez,7/3/1997,Male,18,moznibuc@sepi.io,(844) 311-6095,Bibeczit,176,5
131,Jesus,Quinn,1/7/1958,Male,39,fekehpa@bolapek.zm,(586) 430-6892,Dazjobwu,567,5
132,Catherine,Burns,11/19/1966,Female,39,ferif@viofuno.bf,(820) 437-6533,Poskudiz,670,4
133,Juan,Lane,6/30/1975,Male,58,vusubva@fa.za,(463) 806-1037,Honcuod,304,9
134,Fred,Frazier,3/9/1976,Male,34,togpes@fa.ve,(762) 625-8892,Pihosju,377,6
135,Joshua,Weaver,6/11/1966,Female,33,lavken@raf.sv,(570) 417-8302,Ejirdaz,168,8
136,Margaret,Cunningham,8/4/1997,Male,60,no@enwic.sg,(413) 838-5277,Tofivude,941,8
137,Chester,Murray,11/30/1984,Female,37,jonser@go.vi,(318) 414-1269,Edwucmat,591,2
138,Aaron,Oliver,2/6/1966,Male,47,dif@du.la,(467) 669-2434,Owuseom,893,3
139,Shane,Reynolds,4/15/1958,Female,38,bueligi@rusgu.gl,(324) 628-2462,Lahkectu,717,8
140,Lillie,Myers,11/15/1998,Male,38,zufu@ve.gy,(269) 293-4117,Tebhecva,450,2
141,Hettie,Wilson,10/11/1963,Female,19,nu@ze.td,(274) 358-2448,Tucerki,025,1
142,Alfred,Porter,11/7/1991,Male,53,berifu@ma.eh,(837) 415-8659,Joporeda,593,3
143,Frank,Cook,10/4/1997,Male,37,wo@peze.tv,(333) 745-8130,Ehoussiw,247,2
144,Mabelle,Kim,6/10/1961,Male,29,om@jab.np,(962) 605-6372,Vapjuoc,573,3
145,Nathaniel,Gutierrez,3/18/1961,Male,41,onidarsob@su.mx,(867) 419-3094,Vocnowok,340,9
146,Bruce,Nichols,12/19/1987,Female,58,rivet@utevaj.jm,(445) 233-1076,Tiflocah,484,9
147,Joseph,Daniels,12/1/1980,Female,56,eza@bijhorez.eu,(248) 861-5523,Secocne,559,1
148,Ronald,Copeland,10/24/1987,Male,56,jicehik@rugjedi.gm,(473) 878-9403,Socekri,464,3
149,Alma,Watts,12/11/1977,Male,27,bafzu@anuufsu.it,(219) 907-9014,Webodca,439,3
150,Tom,Coleman,5/3/1999,Female,53,fafi@zof.tl,(513) 598-3287,Hudomzo,635,2
151,Aaron,Garcia,11/24/2001,Female,60,jirusbos@tefoj.dk,(826) 881-2190,Afdetis,851,6
152,Ray,Green,6/17/1959,Female,53,mirdof@wuraur.ms,(346) 392-4635,Fewboluh,031,0
153,Mitchell,Conner,6/30/1999,Male,26,le@lud.dj,(380) 915-5466,Wahagap,569,3
154,Teresa,Weber,12/23/1982,Female,26,duluz@wigdufa.ck,(934) 640-9948,Fetediv,109,3
155,Leo,Fowler,5/7/1973,Male,53,aj@fucsucon.be,(817) 443-7485,Mekojeb,643,4
156,Brandon,Guerrero,1/10/1976,Male,37,raho@beb.im,(743) 700-7295,Mihaine,066,1
157,Carl,Mendoza,6/9/1995,Female,45,ripja@ce.ci,(649) 451-7024,Pofwichi,258,7
158,Jesus,Fowler,3/7/1984,Female,54,buze@de.de,(284) 298-2238,Oguvolor,215,8
159,Timothy,Fernandez,12/5/1980,Female,20,fo@se.tp,(209) 255-4005,Fiwemad,451,3
160,Albert,Stanley,3/15/1991,Female,39,notugji@ezniwud.mo,(349) 393-1313,Vozavi,073,3
161,Cole,Sims,5/8/1987,Male,53,afigi@boc.tw,(677) 431-4683,Ubaanza,076,2
162,Edith,Ross,6/30/1981,Female,44,colipnam@vidzo.me,(502) 537-4773,Tumcovne,838,4
163,Hallie,Malone,3/26/1962,Male,39,bavu@koluczaj.nl,(728) 233-9263,Tovsime,987,9
164,Marian,Caldwell,7/18/1996,Male,22,ru@nogje.bj,(714) 537-8283,Misrispif,634,1
165,Joe,Bryant,11/1/1984,Male,56,zu@jofuj.tf,(366) 699-8171,Tumudo,251,3
166,Mina,Cobb,5/30/1998,Female,37,gubbij@waheit.cy,(878) 515-1275,Tifbehow,137,4
167,Lou,McGuire,8/26/1962,Male,38,efobiz@egiuzo.nu,(826) 814-8935,Lokzulo,014,2
168,Barry,Harrison,3/14/1986,Male,19,wut@amade.tk,(330) 227-3172,Zejdaubo,239,8
169,Katie,Mack,10/4/2001,Male,45,locire@fapilva.org,(663) 520-6606,Nijezmu,832,7
170,Philip,Wade,11/8/1990,Male,49,comgifuz@suti.bj,(466) 983-5072,Nafuic,898,0
171,Nell,Lamb,3/20/1993,Male,40,ve@mobi.bn,(278) 476-8565,Vabkikta,998,3
172,Charlie,Luna,8/24/1981,Male,48,ucewin@fudebik.ws,(618) 882-1997,Utomoguto,191,2
173,Eugene,Day,11/14/1978,Male,47,jizusbil@tejadmok.np,(936) 429-5440,Jebdira,142,3
174,Lola,Simpson,9/16/1993,Female,54,usa@teghovni.cl,(771) 713-9050,Odnofge,484,1
175,Douglas,Fitzgerald,2/25/1970,Female,30,zu@nod.bm,(455) 377-1397,Roswomsil,232,2
176,Julia,Hudson,12/9/1971,Male,60,gucop@ehige.gl,(320) 655-3517,Nuhabpeh,842,1
177,Alan,Medina,3/30/1987,Female,58,behbe@agvi.pm,(549) 691-5242,Lagdiniz,010,2
178,Betty,Barrett,6/13/1988,Male,23,lus@in.vu,(841) 587-1200,Lomucco,275,3
179,Maria,Goodwin,8/19/1983,Female,29,inbug@wiukeroh.np,(827) 284-3137,Fovipci,246,4
180,Clifford,Pearson,7/22/1983,Female,58,ci@vivlogdas.cz,(844) 674-6771,Bupetufa,284,0
181,Millie,Barton,2/24/1996,Male,46,kinsewhe@ov.es,(273) 228-4793,Kobmuzwe,940,9
182,Rebecca,Gregory,6/30/1960,Male,26,dat@isadbas.im,(506) 973-3105,Osdano,647,0
183,Sam,Frank,2/22/1994,Male,44,vuknip@mi.es,(421) 428-2296,Jigesob,549,3
184,Stella,Caldwell,3/8/1975,Female,36,zefne@detin.il,(258) 525-3831,Afgasbu,265,1
185,Rachel,Lane,7/23/1983,Female,37,jivmij@pipaka.lr,(745) 954-2389,Cipadrog,648,1
186,Steve,Day,5/23/1999,Male,21,vulniji@utobuku.fm,(823) 838-6572,Bewheguh,272,2
187,Beatrice,Bush,8/29/1981,Female,37,cuhfedpe@subcesir.lt,(201) 707-2952,Vinueg,398,1
188,Clifford,Fisher,1/7/2002,Female,18,odojomuz@zerunet.sj,(283) 955-9736,Ajupemo,678,0
189,Edward,Barnes,2/2/1961,Female,31,kocaezo@oh.eg,(452) 370-3223,Bedogte,961,8
190,Elijah,Olson,12/23/1974,Male,49,to@ib.it,(965) 752-9054,Wotukihi,080,4
191,Albert,Price,9/10/1993,Female,63,ipe@lu.de,(824) 449-7398,Apkajat,901,7
192,Harriet,Griffith,7/31/2000,Female,31,ke@vit.so,(751) 575-1463,Arkogwic,267,8
193,Lucile,Greer,5/5/1989,Male,41,ano@dilafup.tz,(310) 704-7433,Relzedil,102,6
194,Sam,Pittman,11/30/1967,Male,20,wefigbep@ih.bb,(904) 258-7917,Juapmu,818,5
195,Sue,Rivera,8/30/1970,Female,35,ab@tileduvi.an,(206) 355-8410,Burkitni,121,9
196,Sam,Miller,2/20/1988,Female,32,tuhuf@zecusibir.es,(835) 401-3123,Egusujcam,889,8
197,Bernard,Andrews,2/28/1955,Female,65,ik@desocu.gd,(852) 546-1540,Jirahi,111,0
198,Sophie,Moran,5/31/1972,Female,52,nel@enupimgi.tt,(826) 603-8938,Girihje,182,5
199,Martha,Todd,4/2/1976,Male,31,beoco@akvevo.es,(542) 744-4485,Guccoguv,037,1
200,Maurice,Lowe,2/13/1985,Male,29,boovazip@vaf.er,(707) 963-6515,Bokpela,084,6
201,Julian,Estrada,12/19/1982,Male,35,waahoko@kupzelsub.fr,(830) 429-1689,Rodaker,331,3
202,Adele,Bass,7/22/1965,Male,57,zozwu@saje.dk,(555) 995-6309,Aluleehe,041,7
203,Brandon,Adams,10/24/2002,Male,41,ajodi@eso.vi,(989) 993-1311,Arhofuz,706,7
204,Edwin,McGuire,6/24/1978,Male,18,tak@ru.dm,(657) 823-8549,Coduto,700,4
205,Lucy,Holloway,11/30/1989,Female,62,ufkob@ec.aw,(687) 824-1458,Zituzo,483,7
206,Marc,Fleming,8/5/1969,Female,50,ri@ugmud.pk,(952) 374-2506,Eveogpev,537,4
207,Leon,Mitchell,5/27/1961,Female,45,ina@ih.in,(335) 576-1064,Sejomu,334,4
208,Arthur,Dunn,1/22/1956,Male,45,ta@fed.mw,(617) 488-4533,Ruloscob,563,9
209,Luis,Fleming,9/8/1965,Male,44,sucno@rogi.mc,(705) 458-1851,Hediiwa,735,5
210,Billy,Olson,4/26/1968,Female,28,ducikfoc@jit.io,(567) 937-2479,Wuhmogud,714,0
211,Herbert,Sullivan,4/28/1968,Male,64,gofawo@iki.ie,(912) 702-5990,Fomawot,845,3
212,Myrtle,Chavez,2/22/1983,Male,44,hila@wof.ir,(745) 381-6526,Teduznob,264,8
213,Ralph,Singleton,4/16/1987,Female,34,va@fimazsu.gt,(929) 501-4556,Cudesaj,009,3
214,Barbara,Byrd,6/10/1970,Male,27,ge@pol.la,(602) 875-4933,Gifevmu,626,9
215,Larry,Richardson,5/6/1990,Female,40,obu@selwatbo.ws,(373) 994-4852,Tugurev,891,6
216,Danny,Welch,9/22/1971,Male,40,rem@vuzke.my,(640) 200-9136,Kefjowro,815,6
217,Josie,Crawford,8/9/1958,Male,65,ep@kagacom.bh,(347) 710-5231,Azbislom,652,8
218,Gilbert,Reynolds,5/7/1996,Male,59,nuptuz@ubohoize.ky,(518) 658-1366,Ejjalwa,181,3
219,Raymond,Walsh,12/4/1971,Female,44,luhlanu@heme.vu,(773) 978-5507,Moenpu,927,8
220,Benjamin,Reed,2/28/1999,Female,63,fuhezihi@mimke.co,(321) 228-1736,Futoseni,785,4
221,Raymond,Bradley,12/8/1981,Male,19,inaafuwa@gok.eu,(274) 742-1077,Pazpior,743,3
222,Beulah,Stephens,1/22/1984,Male,49,ulifamu@baniveg.no,(346) 358-2871,Topaseoje,633,0
223,Katherine,Sanchez,9/7/1987,Female,59,nejfiw@fihotjih.bn,(970) 403-1929,Hicobonad,696,4
224,Vernon,Hanson,11/1/1962,Male,28,urmeli@lazsoizu.th,(743) 515-3231,Gevduup,129,3
225,Paul,Phillips,11/20/1982,Male,64,ugegauga@pusgu.ps,(806) 214-9721,Eclernum,702,8
226,Craig,Figueroa,3/30/1974,Male,49,wafliv@amazoci.vu,(435) 732-2056,Sugteka,595,8
227,Cecilia,Harvey,3/14/1992,Female,19,uzwasda@fetebzi.jo,(686) 554-5532,Hazahep,496,3
228,Abbie,Cunningham,11/18/2000,Male,19,gu@kazvason.nl,(475) 217-7156,Akocuono,719,2
229,Louis,Lamb,9/5/1980,Male,41,eriaf@vu.za,(803) 561-6205,Jukfati,412,2
230,Sophie,Moran,3/11/1969,Male,55,ewuifa@copadej.gu,(636) 580-2328,Oricimka,840,5
231,Johnny,Pittman,8/2/1999,Male,48,wijne@fa.ca,(489) 668-8178,Wihohuhi,089,4
232,Nina,Wise,5/28/1970,Female,53,kos@az.gd,(344) 784-3546,Adzaru,644,2
233,Harold,McGuire,3/29/1995,Male,29,kujonav@cefgoler.ss,(251) 497-9109,Sarepog,352,3
234,Sophie,McGee,9/17/1991,Male,42,ra@podehin.io,(429) 441-7859,Bevojoz,797,9
235,Nellie,Larson,9/6/1979,Female,24,cojketum@ceksi.lt,(884) 274-2171,Ebvabtu,579,6
236,Edwin,James,8/18/1990,Female,45,gupakor@odaob.co.uk,(728) 965-5704,Jujouca,723,7
237,Ivan,Edwards,3/26/1985,Male,41,neegu@ja.net,(901) 653-8583,Wukohceg,880,6
238,Annie,Rowe,8/31/1985,Female,53,vuzej@cir.no,(316) 718-3671,Zabkada,392,5
239,Larry,Graham,6/2/1993,Male,24,rume@gajziv.by,(420) 247-6669,Dovciszuz,851,7
240,Phillip,Logan,7/12/1964,Male,23,vizus@jufcekag.sv,(953) 876-7057,Faguuru,354,7
241,Alma,Maxwell,12/23/1998,Male,42,zabcu@pov.ch,(688) 518-4884,Podief,456,6
242,Rose,Shaw,11/20/1971,Female,43,newloh@cenlo.cg,(838) 235-6190,Vaifibal,303,4
243,Lula,Hubbard,5/24/1970,Female,23,liigleg@fagkemfap.vg,(985) 927-6225,Dupaula,531,1
244,Dale,Mullins,5/25/1956,Male,27,kijorez@igbeg.be,(414) 488-7016,Sulgobuh,040,7
245,Sadie,Castro,9/14/1979,Male,28,cetanwag@otpodi.th,(416) 731-3460,Sehilip,297,3
246,Jack,Henry,1/30/1985,Male,65,wucanlen@bibhaf.net,(219) 348-8144,Dookgoj,419,8
247,Rhoda,Porter,3/19/1991,Female,41,fejzad@omorelgu.cn,(946) 750-4783,Zafopik,862,2
248,Danny,Jimenez,8/5/1970,Male,62,witzatah@lenekdun.kw,(859) 896-8943,Pavaihe,540,5
249,Jessie,Mack,1/26/1981,Female,18,ujtavi@dihdoj.jo,(760) 292-2128,Utumunira,717,7
250,Eliza,Doyle,11/27/2000,Female,59,eku@vireco.bi,(710) 470-3041,Buvahar,016,4
251,Marcus,Johnson,6/13/1993,Female,33,rade@hilbenuce.th,(217) 644-9686,Hafavkoh,261,8
252,Esther,Becker,9/24/1988,Male,41,hapi@habidu.no,(621) 682-4294,Bazihgic,573,5
253,Antonio,Ray,5/16/1955,Female,42,ujgeir@daz.ee,(436) 890-6332,Reborzop,019,4
254,Duane,Harrington,4/7/1984,Male,32,ozajej@hab.ws,(415) 908-8460,Vepout,844,0
255,Sarah,Simpson,4/30/1996,Female,57,fion@ujaeka.sv,(354) 380-4214,Fitborfoj,431,9
256,Russell,Rodriguez,7/5/1984,Female,33,agzeus@neko.hk,(226) 690-2288,Tozutte,194,3
