school_id,school_name,school_email,school_phone,street,city,state,zip_code
106,Kenneth Schneider,egopuisi@jof.se,(984) 628-9563,Reru Park,Usovipul,UT,11333
107,Mattie Conner,cergasil@amuja.sa,(613) 235-8538,Apik Pike,Jatbetgud,AK,53727
108,Clayton Stanley,gabligup@juj.lr,(347) 756-3343,Mimka Ridge,Unueggu,CT,79458
109,Myrtie Craig,punaovo@hemhaule.cm,(963) 851-1379,Lifip Point,Efebegok,GA,40603
110,Gertrude Hunt,dulodehi@lozhuszok.st,(750) 545-8113,Enake Street,Koduopu,WI,55231
111,Lizzie Edwards,cisnagtup@fopsunnel.it,(480) 917-2168,Merabe Plaza,Hezkomud,NY,80148
112,Lucile Mendoza,sijdahluk@fandavza.ng,(401) 361-7819,Osku Grove,Nivijli,LA,70893
113,Hunter Pena,nuwhe@bibolwu.am,(570) 939-6312,Okelim Pike,Akgoag,CA,39225
114,Mario Colon,neki@agagac.uk,(766) 423-8255,Nouso Path,Undanmu,SC,78038
115,Rosetta Wheeler,dicre@nuzpawge.ca,(475) 985-7499,Luru Pass,Fudohsob,AK,94084
116,Cynthia Page,va@baga.nl,(807) 443-9143,Kemu Boulevard,Cavudiki,HI,01286
117,Harold Payne,jadtuw@ija.nr,(739) 861-3610,Lanir Square,Vinlugu,DE,63763
118,Cory Castro,la@he.mo,(745) 233-9021,Iwfi Turnpike,Udcohka,IL,98166
119,Lettie Ellis,pag@adu.cu,(238) 209-9460,Sokuw Center,Johdeif,MD,47058
120,Brian Willis,ujo@gaid.co.uk,(929) 897-2789,Jusci Boulevard,Lefnawrud,AZ,16277
121,Ann Estrada,ve@besbeapu.uy,(202) 213-3040,Cenum Highway,Homivper,CT,42135
122,Maurice Jefferson,efegi@abetaek.ax,(276) 910-2970,Vula Heights,Rujzidteh,FL,11634
123,Daisy Joseph,li@tondi.cc,(258) 355-5269,Odarib Lane,Hajefop,MT,38008
124,Ada Alexander,calrikko@kefvope.tt,(711) 385-3445,Cokwuw Ridge,Uwekoszuz,ME,83784
125,Glenn Mills,lasutet@akeco.mk,(927) 936-3915,Mueha Terrace,Lecokbi,TX,18301
126,Carrie Austin,wakloh@aka.mn,(418) 712-2226,Ezaz Plaza,Widbehjak,DC,40162
127,Ruby Hanson,daluncak@zetacvu.mz,(728) 362-3621,Eminok Court,Vurowgah,ID,53524
128,Frank Doyle,em@ci.tm,(762) 890-1273,Muwad Street,Bafjase,OH,84376
129,Ernest Warner,hohhikipo@re.no,(981) 881-5782,Vuko Extension,Usalezok,TX,20026
130,Harriet Hall,dif@gatalbi.ga,(709) 395-1550,Jafa View,Gujebnul,MS,90032
131,Donald Lamb,upuwekol@voguz.nc,(261) 505-7910,Tecu Circle,Gaetic,WA,01734
132,Tommy Anderson,cultecju@cowe.mr,(624) 695-8705,Opipez Point,Rugbuzef,NY,32528
133,Kathryn Chapman,piehfo@heajo.ws,(836) 812-5581,Ehokik Junction,Odurenin,TN,82299
134,Sallie Morrison,futdo@gat.pg,(453) 842-5223,Ithul Path,Sacbaaji,OK,11234
135,Georgie Tran,ahinel@fofazeja.gg,(642) 445-1998,Telak Pike,Ritradli,IA,35446
136,Lina Reyes,gonnuftuc@efmop.am,(981) 648-5160,Puhul Place,Wewinro,CT,38139
137,Rachel Burke,simamuk@sare.ao,(713) 676-1988,Terup Ridge,Itebuofe,AK,32163
138,Cameron Cohen,wiolbi@sokimo.na,(455) 550-6536,Atvaf Glen,Riesawo,OK,71583
139,Bobby Kennedy,lorome@woc.py,(650) 784-8008,Hezpap Turnpike,Uredahvat,SC,51788
140,Gavin Turner,hos@ighojvo.ki,(306) 440-3406,Bumfa Boulevard,Olabemca,OK,79473
141,Tyler Lambert,loili@jog.fr,(974) 731-1344,Mogcow Parkway,Ejdoni,SD,43676
142,Lou Figueroa,zu@mibo.pf,(937) 282-9442,Koumo Street,Cuciwo,OK,62305
143,Jane Delgado,towu@gomef.mv,(584) 874-3779,Jisa Circle,Mieriuki,SC,45366
144,Mark McCarthy,pigtok@etiruet.mq,(723) 968-5389,Hilu Parkway,Ruvbalad,CT,20836
145,Darrell Knight,cibwiho@hu.ck,(879) 384-3780,Hugu Manor,Ijesufav,NE,71870
146,Gerald Hodges,navuni@uflu.ss,(239) 292-8755,Leudu Loop,Gincikwew,DE,33849
147,Elijah Higgins,jihginaba@mo.mr,(571) 498-6239,Fezpar Center,Jommojwi,AK,85244
148,Russell Graves,sijhur@muzosju.cx,(305) 227-9621,Dawahu Place,Wowecoif,MI,59265
149,Ernest Douglas,ugukezu@ruv.ie,(586) 348-5906,Omdaw Place,Hadlufuva,ID,09333
150,Phillip Bowers,gujam@zur.fk,(944) 330-2056,Jisew Lane,Nikanere,AR,89147
151,Angel Jordan,ivus@kufes.gu,(845) 814-7192,Vedam Parkway,Vefnazhi,WA,53053
152,Sue Sutton,izro@pul.va,(488) 755-9334,Ohuba Way,Potamke,PA,65035
153,Laura Welch,zob@dalempi.gp,(460) 893-1886,Gigro Park,Pipune,LA,65229
154,Herman Manning,sen@va.bq,(538) 894-7293,Teazu Loop,Kanoula,GA,15055
155,Myra Morton,jufesmi@eko.td,(535) 949-5326,Ivolu Court,Obibizo,FL,29993
156,Ricky Campbell,rupezek@no.aw,(412) 251-1966,Titim Square,Emucoaj,VA,07064
157,Ruby Stokes,puisce@wolok.com,(407) 434-6103,Fito Lane,Emmidad,MD,35775
158,Hulda Hunt,av@piz.za,(800) 930-6917,Wobig Path,Besjiah,NJ,67961
159,Sophie Perkins,zatitasiw@moz.gq,(766) 823-7951,Gevji Boulevard,Silkodvij,AL,01826
160,Luella Briggs,le@zatso.cu,(704) 406-2294,Cober Junction,Piutsu,FL,42073
161,Katherine Robinson,pu@wor.pn,(843) 557-5066,Vapuvu Court,Suzuvwos,MO,33264
162,Logan Wade,es@uliveh.ht,(766) 627-1565,Zolkip Extension,Awmuofe,OH,93973
163,Elmer Vasquez,afi@elaarca.st,(949) 520-6200,Fiksi Street,Zihkutilu,NE,13354
164,Oscar Ballard,pa@fotgugcum.tr,(566) 905-2248,Sebi Terrace,Gikrolro,NY,44222
165,Sally French,cil@docooti.sv,(828) 752-3052,Ukwej Court,Jefoaje,ND,85183
166,Adrian Rowe,in@udkub.com,(280) 669-6316,Hopfag Turnpike,Minpizo,HI,08667
167,Marion Phelps,hohah@kad.bf,(275) 951-3680,Wiuwo Street,Kobnocsar,SD,38893
168,Nathaniel Gutierrez,uhi@debhugfoc.bs,(832) 982-5622,Rico Plaza,Bacepkot,VA,94321
169,Maggie Lambert,ubil@vuiloan.nl,(520) 321-6970,Jutjav Square,Opnotlar,MS,72894
170,Jack Houston,be@cur.kp,(408) 914-6364,Hinzij Ridge,Ukgopho,WI,75215
171,Maude Ross,jivki@duhuw.pf,(781) 869-6138,Usruv Turnpike,Ekokobi,MT,70657
172,Milton Schmidt,suosuwov@jez.mz,(819) 852-2209,Dinpuc Parkway,Ihogdew,MD,77261
173,Florence Watkins,ki@hofolgud.to,(362) 433-3133,Akuolu Street,Vedapzo,AK,31584
174,Jim Stephens,asevev@go.mr,(244) 879-7267,Puca Park,Pulvafus,VT,17860
175,Jean Doyle,rir@le.pg,(437) 248-5650,Apsaj Street,Nakujiwo,MS,56689
176,Emma Alexander,ib@jazotabo.tl,(431) 427-9518,Mumse Point,Wefwodjic,WY,84088
177,Lucy Harris,ruj@le.om,(902) 749-2585,Pihwew River,Aswijawo,AL,28439
178,Agnes Wood,pom@todalbip.lb,(364) 746-6624,Logul Trail,Ruuteli,VT,41107
179,Kate Parsons,dajogsuc@apurib.gy,(828) 879-7929,Rivhu View,Valeka,TX,55575
180,Russell Bass,vazose@to.hm,(381) 242-8016,Ehupi Path,Coavoca,PA,93778
181,Luella Parks,fa@ofvi.com,(802) 408-3220,Ispo Street,Ebaonko,MN,65515
182,Jayden Sharp,hepu@wozi.af,(756) 605-1271,Okaiso Drive,Civguat,MS,83229
183,Stephen Reynolds,apa@on.fo,(827) 923-9831,Gujbe Plaza,Zepcekum,MA,97011
184,Duane Cortez,fuv@miwupwiv.it,(504) 705-9769,Zezgab Terrace,Vocagakab,KS,66477
185,Anne Pope,faksej@fa.sd,(364) 211-1774,Tivid Heights,Wovodtij,CA,91565
186,Minnie Roy,izimo@ujumi.bh,(509) 495-9165,Weco Turnpike,Rilucmen,NE,49368
187,Abbie Houston,jivnora@ho.vu,(228) 768-1906,Secrim Terrace,Japlehor,FL,81241
188,Edward Sutton,urovelci@vedfojud.mg,(743) 840-3302,Netib Grove,Niwezne,MD,67865
189,Derek Strickland,ji@umeggo.ls,(960) 235-7098,Mina Road,Fetime,RI,31425
190,Eva Baldwin,teko@gatrarzav.lc,(215) 363-2528,Tebar Boulevard,Pubjite,OK,83496
191,Arthur Stevenson,re@pewigdiw.ec,(961) 445-2131,Zamo Heights,Sumwosut,CT,72261
192,Polly Pena,doc@cojahle.ls,(347) 284-4125,Hoso Lane,Azbewav,CT,14922
193,Ricky Strickland,zuos@kavve.it,(464) 252-7105,Haomo Lane,Olijewu,OR,95498
194,Alex Atkins,hu@soel.ne,(461) 770-3180,Gisni Glen,Uginorof,VT,13771
195,Thomas Spencer,pi@lirroboje.ms,(764) 678-5713,Savmaf Plaza,Miekahum,MI,83724
196,Marvin Young,cogjovge@aki.gm,(607) 310-8465,Joke Manor,Uclaho,AK,85611
197,Henrietta Peterson,besnas@anivues.vi,(544) 285-3695,Ovoze Path,Nuzfipi,OK,22263
198,Lois Dawson,wa@risujin.an,(502) 257-9550,Ijuwo Avenue,Piikuzi,NM,75343
199,Craig Bowman,tig@mijes.nl,(254) 438-6394,Fovoj Highway,Vuczutod,HI,72937
200,James Long,ujkim@ehonulur.ee,(829) 561-2538,Nipa Plaza,Haufiji,UT,85676
201,Leila Bridges,tihja@ja.sd,(801) 502-8146,Doruj Path,Edenufi,DE,90539
202,Jane Cox,git@wolbodjof.so,(246) 960-8094,Vawos Path,Goljodav,IL,10869
203,Ora Cortez,tuohu@zadij.qa,(716) 399-3145,Isutu Manor,Osienieh,NC,39407
204,Winnie Wilkins,gotu@koh.gov,(410) 536-7448,Enouz View,Kasaro,NE,88091
205,Tom Luna,ruvgop@zesetofal.ve,(427) 219-3665,Muhhe Key,Maicoor,MI,26533
206,Lou Hart,kuc@bu.bm,(874) 863-8683,Wonhi Extension,Ufnagtag,MT,60437
207,Victor Frazier,va@etannu.su,(814) 962-1394,Puznoz Street,Udasuzsu,DE,29852
208,Caleb Thompson,bupdaace@zieh.ki,(972) 809-8372,Enwah Turnpike,Wehfobsuh,ND,63927
209,Jessie Chandler,dalemu@japi.mx,(630) 938-9079,Getuh Pass,Wamaji,ME,67864
210,Brent Jackson,hi@gagino.er,(863) 474-4102,Ahar Drive,Bukutrad,AR,77523
211,Dean Matthews,nefela@izounefo.sz,(417) 488-5178,Hilgag Square,Ekesuvo,IA,52169
212,Nathaniel Briggs,perle@fu.fr,(608) 219-2378,Niwom Lane,Lusubvi,ME,27013
213,Kyle Caldwell,cosi@juwwew.hk,(976) 274-7805,Zibri Drive,Ijabawad,NH,20437
214,Michael Chavez,bomezoki@ofenovade.au,(401) 989-3192,Tikipe Parkway,Hedladov,MI,73347
215,Lula Santos,co@zatepi.la,(871) 426-4475,Mosen Mill,Ropdiran,NH,13702
216,Brent Pope,dihgazce@sejighi.az,(506) 839-4385,Ejefiv River,Mihuale,NC,02409
217,Ola Moran,hocni@wiciw.gq,(332) 567-8723,Dezve Turnpike,Efrunavu,NE,02802
218,Dustin Pratt,ijulo@gunsiphi.km,(571) 578-5237,Mismob Parkway,Lusotovul,MI,95474
219,Linnie Herrera,ci@zo.wf,(943) 927-2364,Ulaac Square,Gabocsaw,HI,53440
220,Brett Garza,kaso@hop.mt,(716) 957-2245,Ipuev Point,Diajka,DE,60062
221,Christopher Griffith,vec@ozre.sl,(854) 745-6654,Ogje Way,Depcetot,NH,46029
222,Bryan Jimenez,uhvanjuk@nuhe.mu,(212) 897-7984,Udana Park,Guikbi,DE,88015
223,Maud Poole,wo@ruz.ax,(367) 333-3998,Sucgu Path,Wopatwu,DE,78473
224,Anthony Howard,fohefades@gimejte.org,(228) 554-9345,Egujuz Ridge,Fegero,PA,16558
225,Nina Reese,ipaabpab@ketefzul.kp,(374) 744-6109,Tetwe Lane,Mitebi,DC,94945
226,Lou Hubbard,ahiako@me.km,(857) 818-7535,Keze Junction,Fucizic,AK,42889
227,Mathilda Thompson,di@teg.cn,(253) 636-5804,Powgov Path,Heklocsa,IL,64051
228,Kathryn Martinez,cijkil@mo.tp,(613) 613-8230,Jeal Trail,Jeovebu,RI,29213
229,Theresa Warner,kedizhu@ipefu.so,(424) 736-5994,Tamku Park,Tofitnof,TN,47532
230,Madge Mendez,sabhuzug@tesuljer.rs,(541) 452-4212,Zibgu Square,Baentuf,PA,85987
231,Grace Griffin,zu@tonedi.so,(459) 975-9159,Rivop Extension,Vuhtawfu,NE,53449
232,Erik Lopez,opabizlab@rete.td,(687) 297-7677,Seblin Parkway,Jovwicu,TX,73231
233,Elnora Goodman,kotome@kuanma.qa,(377) 603-9367,Goruj Path,Vofraci,TN,51562
234,Bessie Berry,cec@pes.mh,(820) 539-3171,Udzil Pass,Teuwulil,KS,72857
235,Helen Silva,zuhdum@guh.ne,(652) 250-6377,Tekob Square,Witevsuj,NJ,60870
236,Rosie Murphy,bubeav@enapiz.gs,(730) 420-9483,Noif View,Wusufakos,HI,69521
237,Shawn Newman,enlisor@leimmes.ke,(405) 560-1133,Ipkeh Lane,Paeget,DE,45447
238,Shawn Wise,hokhikmo@hotig.kz,(840) 854-9925,Vuhmun Manor,Tirabom,ND,87181
239,Hettie Brewer,jecagu@downoweba.ws,(719) 721-3643,Zivvan Highway,Mijgetlor,NJ,80570
240,Helen Wilson,zib@loccursem.lc,(986) 358-9189,Giaw Trail,Kulipdap,MD,50468
241,Ian Elliott,pomdathuz@tum.tr,(366) 598-1178,Zekve Place,Umzobes,MT,23612
242,Luke Kelly,pojiko@pevfava.bm,(459) 575-1686,Widzum Avenue,Awunofa,WI,89961
243,Pauline Long,anipefug@sawtedpe.lr,(206) 754-5951,Vuca Glen,Ufonojuj,WY,25024
244,Dennis Pierce,zivege@nabgallip.zm,(436) 303-7694,Abaiz Highway,Howesam,OK,53921
245,Ronald Munoz,fucdom@locazuz.tn,(481) 225-3261,Ivasez Highway,Julahaj,KS,71650
246,Logan Patterson,ufemuva@hul.sd,(709) 457-6108,Joalu Glen,Kocova,WY,55965
247,Rosalie Hughes,otopunnip@lawjo.ae,(640) 599-4670,Jueg Pike,Nahiva,WA,19776
248,Warren Frank,ma@iv.gr,(781) 945-7124,Guli Pike,Pomihup,MD,15219
249,Julian Bridges,ges@ogfow.sm,(671) 358-5101,Irizo Extension,Jehjiuge,AZ,02024
250,Philip Lopez,gewo@dakfakti.na,(204) 576-7737,Luhu Key,Madejat,NE,45154
251,Georgia Johnston,re@petpoesa.ma,(930) 510-4581,Gidcac Point,Moznidgoj,SD,50130
252,Blanche Stone,tinu@ro.bq,(407) 461-5221,Joravo River,Neukru,TN,05543
253,Ella Oliver,mejutiosi@tijmuv.bb,(905) 497-7671,Dimi Terrace,Worlefi,OH,43621
254,Mitchell Soto,hef@tardaf.rs,(239) 915-4762,Gisgo View,Iboidire,DE,70169
255,Philip Hart,sivolubuv@harjug.gw,(724) 682-1703,Gihij Pike,Afguvpif,NH,68690
256,Christopher Reid,suheizi@ibusop.kg,(833) 448-2122,Medni Loop,Peforiw,VT,96175
257,Glenn Barber,os@decagof.mh,(807) 461-2497,Wavo Highway,Zavunma,TN,42330
258,Dorothy Fleming,eba@ur.ad,(748) 261-9411,Vasko Center,Waomezaw,AL,91282
259,Leila Morgan,ke@asu.ge,(888) 756-2324,Vuhut Point,Vowfivi,NY,92209
260,Bobby Castro,numav@icaravik.hm,(653) 838-7632,Mecu Junction,Jumhevgi,CA,93357
261,Sean Copeland,hir@ra.gh,(915) 864-8607,Usuta Lane,Ufpiwaw,HI,85646
262,Evan Grant,worzez@goatibu.bq,(529) 283-3567,Caij Extension,Ponekmeg,SD,30437
263,Bertha Watkins,rew@ahejokef.to,(800) 523-3793,Huveg Pass,Tagcabid,UT,84025
264,Stanley Knight,ju@tik.aq,(566) 575-5935,Moisa Point,Mevbumjec,ME,86469
265,Lois Smith,mihosi@kutwopug.gi,(634) 398-7535,Zine Turnpike,Buwufuc,KS,73371
266,Lee Ferguson,savmaj@jatanvo.gq,(884) 442-5462,Wuzew Extension,Roicdez,NM,35891
267,Bill Leonard,nec@ac.org,(446) 628-1095,Jiko Trail,Gocgiluj,OK,63617
268,Olga Brown,vifebwa@cunsekif.si,(331) 373-3640,Zoti Parkway,Rajevi,DE,01232
269,Minnie Santos,edsa@mobcanbo.tj,(835) 849-6316,Ibgon Extension,Lifani,WY,25665
270,Calvin Nash,ke@ba.hn,(201) 390-9016,Burruh Park,Maadbe,KY,70630
